电影名称,总票房,类型
爱你的人,97,剧情
幸运是我,96,剧情
爸爸的3次婚礼,95,爱情
皇帝的新装之圣诞大明星,93,动画
猿创世界之熊孩子部落,86,动画
党的女儿尹灵芝,74,剧情
不朽的时光,73,剧情
热血雷锋侠之激情营救,63,动画
爱神箭,61,爱情
海洋之恋,56,爱情
异性合租的往事,45,爱情
708090之深圳恋歌,43,爱情
越囧,41,爱情
失心者,39,惊悚
男神抱抱,32,爱情
减法人生,32,剧情
大会师,31,战争
当我们年轻的时候,31,剧情
有迹可循,30,剧情
练胆儿,24,喜剧
杠上开花,21,喜剧
四渡赤水,20,动画
人鱼校花,19,爱情
热土悲歌,14,战争
小熊的夏天,14,喜剧
皇甫谧,11,剧情
我的女神女汉子,11,爱情
难忘金银滩,10,爱情
T台魔王,9,爱情
爱上处女座,9,喜剧
先锋之那时青春,8,战争
飞天窑女,8,爱情
脱单宝典,7,爱情
我的朋友圈,7,喜剧
最后证言,5,剧情
何去何从,4,战争
流金,3,剧情
少年梦,3,剧情
心语阳光,2,剧情
太阳河,2,战争
非常绑架,1,爱情
恋,1,喜剧
红颜容,1,剧情
骆驼客2：箭在弦,1,动作
甜水谣,0,爱情
兄弟之北漂歌手,0,爱情
活宝,0,喜剧
大山里的春天,,剧情
我的奶奶是天使,,剧情
捉妖记,244002,奇幻
寻龙诀,168274,惊悚
港囧,161410,喜剧
夏洛特烦恼,144161,喜剧
煎饼侠,116276,喜剧
澳门风云2,97486,动作
西游记之大圣归来,95657,动画
老炮儿,90280,剧情
碟中谍5：神秘国度,86977,动作
唐人街探案,82442,动作
天将雄师,74418,动作
狼图腾,70425,剧情
九层妖塔,68294,惊悚
恶棍天使,64959,喜剧
杀破狼2,56050,动作
战狼,54555,动作
滚蛋吧！肿瘤君,51181,爱情
小时代4：灵魂尽头,48842,爱情
左耳,48522,爱情
奔跑吧！兄弟,44644,喜剧
百团大战,41367,战争
钟馗伏魔：雪妖魔灵,40923,奇幻
道士下山,40078,喜剧
栀子花开,37901,爱情
重返20岁,36612,爱情
何以笙箫默,35352,爱情
万万没想到,32251,喜剧
横冲直撞好莱坞,32236,爱情
烈日灼心,30528,犯罪
熊出没之雪岭熊风,29572,动画
咱们结婚吧,28449,爱情
有一个地方只有我们知道,28365,爱情
前任2：备胎反击战,25200,爱情
极盗者,24855,动作
爸爸去哪儿2,22352,儿童
失孤,21618,剧情
我是证人,21527,悬疑
赤道,20974,动作
解救吾先生,19592,动作
新娘大作战,17337,爱情
怦然星动,15974,爱情
冲上云霄,15631,爱情
谜城,14886,动作
万物生长,14832,爱情
破风,14529,爱情
王朝的女人·杨贵妃,13394,爱情
玩命速递：重启之战,12849,动作
爸爸的假期,11634,喜剧
不可思异,11191,喜剧
像素大战,10097,动作
一念天堂,8279,喜剧
消失的凶手,7716,动作
洛克王国4：出发！巨人谷,7698,动画
第三种爱情,7325,爱情
黑猫警长之翡翠之星,7197,动画
一路惊喜,6978,爱情
有种你爱我,6822,爱情
命中注定,6793,爱情
喜羊羊与灰太狼之羊年喜羊羊,6781,动画
我是路人甲,6492,喜剧
桂宝之爆笑闯宇宙,6428,动画
一代宗师3D,6302,动作
陪安东尼度过漫长岁月,6265,爱情
剩者为王,6149,爱情
刺客聂隐娘,6141,动作
从天“儿”降,5663,爱情
赛尔号5：雷神崛起,5662,动画
师父,5490,动作
恋爱中的城市,5365,爱情
太平轮：彼岸,5105,爱情
少年班,5069,喜剧
既然青春留不住,5020,爱情
杜拉拉追婚记,4972,爱情
华丽上班族,4751,喜剧
坏蛋必须死,4705,喜剧
圣诞大赢家,4697,动画
暴疯语,4676,悬疑
潜艇总动员5：时光宝盒,4670,动画
猪猪侠之终极决战,4549,动画
十月初五的月光,4262,爱情
宅女侦探桂香,4137,爱情
将错就错,3937,喜剧
巴啦啦小魔仙之魔箭公主,3828,儿童
神探驾到,3741,爱情
山河故人,3226,剧情
新步步惊心,3221,爱情
土豪520,3014,爱情
兔侠之青黎传说,2973,动画
一万年以后,2778,动作
封门诡影,2582,惊悚
功夫,2560,动作
龙在哪里?,2462,动画
暴走神探,2456,动作
白幽灵传奇之绝命逃亡,2433,战争
一个勺子,2253,喜剧
可爱的你,2222,爱情
闯堂兔2疯狂马戏团,2122,动画
张震讲故事之鬼迷心窍,2093,惊悚
冲锋车,2092,动作
谍·莲花,2071,战争
重生爱人,1989,爱情
北京·纽约,1905,爱情
巴黎假期,1793,爱情
美人鱼之海盗来袭,1736,动画
旋风九日,1690,纪录片
通灵之六世古宅,1655,惊悚
魔镜奇缘,1602,动画
阿里巴巴大盗奇兵,1583,动画
我是女王,1554,爱情
吉星高照2015,1530,喜剧
十二公民,1404,剧情
咕噜咕噜美人鱼,1395,动画
年少轻狂,1309,爱情
落跑吧，爱情,1306,爱情
